toneHz1,audioFile1,toneHz2,audioFile2,cond,getResponse.keys,pitchDiff,pitchAcc
545.5,545.5Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-4.5,1
550.0,550Tone_audFile.wav,546.5,546.5Tone_audFile.wav,1.0,1.0,-3.5,1
540.0,540Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-10.0,1
550.0,550Tone_audFile.wav,551.0,551Tone_audFile.wav,2.0,2.0,1.0,1
556.0,556Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,6.0,1
553.0,553Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,3.0,1
550.0,550Tone_audFile.wav,555.0,555Tone_audFile.wav,2.0,2.0,5.0,1
550.0,550Tone_audFile.wav,551.5,551.5Tone_audFile.wav,2.0,1.0,1.5,0
550.0,550Tone_audFile.wav,546.0,546Tone_audFile.wav,1.0,1.0,-4.0,1
562.0,562Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,12.0,1
550.0,550Tone_audFile.wav,539.0,539Tone_audFile.wav,1.0,1.0,-11.0,1
550.0,550Tone_audFile.wav,552.0,552Tone_audFile.wav,2.0,2.0,2.0,1
550.0,550Tone_audFile.wav,564.0,564Tone_audFile.wav,2.0,2.0,14.0,1
546.0,546Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-4.0,0
550.0,550Tone_audFile.wav,558.0,558Tone_audFile.wav,2.0,2.0,8.0,1
550.0,550Tone_audFile.wav,553.5,553.5Tone_audFile.wav,2.0,2.0,3.5,1
550.0,550Tone_audFile.wav,542.0,542Tone_audFile.wav,1.0,1.0,-8.0,1
550.0,550Tone_audFile.wav,547.5,547.5Tone_audFile.wav,1.0,1.0,-2.5,1
547.5,547.5Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-2.5,0
552.0,552Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,2.0,1
550.0,550Tone_audFile.wav,565.0,565Tone_audFile.wav,2.0,2.0,15.0,1
542.0,542Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-8.0,0
536.0,536Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-14.0,0
541.0,541Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-9.0,1
550.0,550Tone_audFile.wav,541.0,541Tone_audFile.wav,1.0,1.0,-9.0,1
551.5,551.5Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,1.5,1
535.0,535Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-15.0,1
548.0,548Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-2.0,0
550.0,550Tone_audFile.wav,536.0,536Tone_audFile.wav,1.0,1.0,-14.0,1
550.0,550Tone_audFile.wav,548.0,548Tone_audFile.wav,1.0,1.0,-2.0,1
550.0,550Tone_audFile.wav,560.0,560Tone_audFile.wav,2.0,2.0,10.0,1
543.0,543Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-7.0,0
564.0,564Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,14.0,1
550.0,550Tone_audFile.wav,562.0,562Tone_audFile.wav,2.0,2.0,12.0,1
550.0,550Tone_audFile.wav,561.0,561Tone_audFile.wav,2.0,2.0,11.0,1
561.0,561Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,11.0,1
550.0,550Tone_audFile.wav,552.5,552.5Tone_audFile.wav,2.0,1.0,2.5,0
550.0,550Tone_audFile.wav,545.5,545.5Tone_audFile.wav,1.0,1.0,-4.5,1
565.0,565Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,15.0,1
560.0,560Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,10.0,1
538.0,538Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-12.0,0
545.0,545Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-5.0,1
547.0,547Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-3.0,1
539.0,539Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-11.0,1
548.5,548.5Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-1.5,0
550.0,550Tone_audFile.wav,556.0,556Tone_audFile.wav,2.0,2.0,6.0,1
550.0,550Tone_audFile.wav,544.0,544Tone_audFile.wav,1.0,1.0,-6.0,1
563.0,563Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,13.0,1
550.0,550Tone_audFile.wav,543.0,543Tone_audFile.wav,1.0,1.0,-7.0,1
554.5,554.5Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,4.5,1
553.5,553.5Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,3.5,1
550.0,550Tone_audFile.wav,548.5,548.5Tone_audFile.wav,1.0,1.0,-1.5,1
550.0,550Tone_audFile.wav,538.0,538Tone_audFile.wav,1.0,1.0,-12.0,1
550.0,550Tone_audFile.wav,547.0,547Tone_audFile.wav,1.0,1.0,-3.0,1
559.0,559Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,9.0,1
550.0,550Tone_audFile.wav,549.5,549.5Tone_audFile.wav,1.0,2.0,-0.5,0
550.0,550Tone_audFile.wav,537.0,537Tone_audFile.wav,1.0,1.0,-13.0,1
550.0,550Tone_audFile.wav,545.0,545Tone_audFile.wav,1.0,1.0,-5.0,1
550.0,550Tone_audFile.wav,553.0,553Tone_audFile.wav,2.0,2.0,3.0,1
550.0,550Tone_audFile.wav,563.0,563Tone_audFile.wav,2.0,2.0,13.0,1
544.0,544Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-6.0,1
550.0,550Tone_audFile.wav,554.0,554Tone_audFile.wav,2.0,2.0,4.0,1
549.5,549.5Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,1.0,-0.5,0
550.0,550Tone_audFile.wav,540.0,540Tone_audFile.wav,1.0,1.0,-10.0,1
550.0,550Tone_audFile.wav,549.0,549Tone_audFile.wav,1.0,2.0,-1.0,0
549.0,549Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-1.0,1
550.5,550.5Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,2.0,0.5,0
550.0,550Tone_audFile.wav,557.0,557Tone_audFile.wav,2.0,2.0,7.0,1
537.0,537Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-13.0,1
546.5,546.5Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-3.5,1
550.0,550Tone_audFile.wav,554.5,554.5Tone_audFile.wav,2.0,2.0,4.5,1
555.0,555Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,5.0,1
550.0,550Tone_audFile.wav,535.0,535Tone_audFile.wav,1.0,1.0,-15.0,1
558.0,558Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,8.0,1
550.0,550Tone_audFile.wav,550.5,550.5Tone_audFile.wav,2.0,2.0,-0.5,1
