Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6094496031291783,1248.9329437250271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248.9329437250271,None,1250.6668720091693,None,space,12.493002929724753,1250.8493802519515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1263.3992028548382,None,1264.382965871133,None,1267.5828187768348,None,1268.9664476150647,None,ash,1268.9664476150647,None,return,3.9809918887913227,1269.0493597458117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1273.065765703097,None,1274.066054936964,None,1275.5510626398027,None,1276.932796542067,None,ash,1276.932796542067,None,return,4.390414711087942,1277.0160669940524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281.4490508190356,None,space,28.805560530163348,1281.6327906581573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
news.wav,news.mpg,news,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,1310.4990813210607,None,1311.982534863986,None,1313.3661418189295,None,news,1313.3661418189295,None,return,2.3489681486971676,1313.449458421208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
blob.wav,blob.mpg,blob,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,1,1,76,,,,,,,,,,,,,,,,,,,,,,,1315.8162521398626,None,1317.2997888228856,None,1318.6826375820674,None,"blob
",1318.6826375820674,None,return,4.8002287466079,1318.7661346411332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
bear.wav,bear.mpg,bear,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,2,2,101,,,,,,,,,,,,,,,,,,,,,,,1323.5994973462075,None,1325.0991788371466,None,1326.482842661906,None,bear,1326.482842661906,None,return,5.312246561981738,1326.5661263978109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
cried.wav,cried.mpg,cried,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,3,3,26,,,,,,,,,,,,,,,,,,,,,,,1331.8996189809404,None,1333.3991520251147,None,1334.7828507530503,None,"cried
",1334.7828507530503,None,return,5.684145668055862,1334.866220686119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
groan.wav,groan.mpg,groan,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,1340.582847129088,None,1342.082579943817,None,1343.4664368112572,None,grown,1343.4664368112572,None,return,6.088831784203649,1343.549613383133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
guess.wav,guess.mpg,guess,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,5,5,92,,,,,,,,,,,,,,,,,,,,,,,1349.6662008031271,None,1351.1660248008557,None,1352.5495183081366,None,guests,1352.5495183081366,None,return,5.6615158203057945,1352.632870559115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
blame.wav,blame.mpg,blame,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,6,6,39,,,,,,,,,,,,,,,,,,,,,,,1358.3162347539328,None,1359.8158610090613,None,1361.199463296216,None,lame,1361.199463296216,None,return,3.571543316822499,1361.2829206609167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
broom.wav,broom.mpg,broom,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,7,7,75,,,,,,,,,,,,,,,,,,,,,,,1364.8828498921357,None,1366.3825256861746,None,1367.7660967591219,None,broom,1367.7660967591219,None,return,2.316799412947148,1367.8495520208962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
bomb.wav,bomb.mpg,bomb,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,1370.1830625152215,None,1371.682572987862,None,1373.0663522290997,None,bone,1373.0663522290997,None,return,3.112885702867061,1373.1495306510478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
gap.wav,gap.mpg,gap,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,9,9,54,,,,,,,,,,,,,,,,,,,,,,,1376.282825006172,None,1377.782531045843,None,1379.166303532198,None,mist,1379.166303532198,None,return,2.676660053897649,1379.2496845368296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
hit.wav,hit.mpg,hit,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,10,10,55,,,,,,,,,,,,,,,,,,,,,,,1381.949561634101,None,1383.4341754261404,None,1384.81623265706,None,hit,1384.81623265706,None,return,0.9947093552909791,1384.8996858731844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
green.wav,green.mpg,green,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,11,11,28,,,,,,,,,,,,,,,,,,,,,,,1385.916325591039,None,1387.4159269081429,None,1388.7997428718954,None,green,1388.7997428718954,None,return,2.043474602047354,1388.8829047041945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
chant.wav,chant.mpg,chant,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,12,12,93,,,,,,,,,,,,,,,,,,,,,,,1390.9494989868253,None,1392.4493188410997,None,1393.8328862660564,None,chest,1393.8328862660564,None,return,1.994143529329449,1393.916248974856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
bond.wav,bond.mpg,bond,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,13,13,40,,,,,,,,,,,,,,,,,,,,,,,1395.9328583702445,None,1397.4326154710725,None,1398.8162524420768,None,ofs,1398.8162524420768,None,return,2.4107859251089394,1398.8995603332296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
axe.wav,axe.mpg,axe,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,14,14,118,,,,,,,,,,,,,,,,,,,,,,,1401.3330430109054,None,1402.832615972031,None,1404.2161806090735,None,ex,1404.2161806090735,None,return,1.3468695520423353,1404.2995586670004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
led.wav,led.mpg,led,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,15,15,20,,,,,,,,,,,,,,,,,,,,,,,1405.6662831711583,None,1407.1659299209714,None,1408.5496973441914,None,rum,1408.5496973441914,None,return,4.741454632952809,1408.6328859799542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
client.wav,client.mpg,client,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,1413.3997239619493,None,1414.899271896109,None,1416.2829887620173,None,client,1416.2829887620173,None,return,3.432171753142029,1416.3662856901065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
crane.wav,crane.mpg,crane,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,17,17,29,,,,,,,,,,,,,,,,,,,,,,,1419.816244192887,None,1421.315933433827,None,1422.6997475111857,None,pretty,1422.6997475111857,None,return,3.391432066913694,1422.7828960232437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
fake.wav,fake.mpg,fake,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,18,18,80,,,,,,,,,,,,,,,,,,,,,,,1426.1995993889868,None,1427.6992582171224,None,1429.0829299278557,None,fit,1429.0829299278557,None,return,1.9120340161025524,1429.1663238909096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
climb.wav,climb.mpg,climb,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,19,19,89,,,,,,,,,,,,,,,,,,,,,,,1431.0995967010967,None,1432.599351926241,None,1433.9829217791557,None,climb,1433.9829217791557,None,return,2.2440449320711195,1434.0662976992317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
bun.wav,bun.mpg,bun,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,20,20,35,,,,,,,,,,,,,,,,,,,,,,,1436.3329994422384,None,1437.8326340769418,None,1439.2162691270933,None,fun,1439.2162691270933,None,return,3.394786639139056,1439.2995707741939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
fat.wav,fat.mpg,fat,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,21,21,0,,,,,,,,,,,,,,,,,,,,,,,1442.716339407023,None,1444.21598710306,None,1445.599648267962,None,fat,1445.599648267962,None,return,0.8995339660905302,1445.6829264648259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
cliff.wav,cliff.mpg,cliff,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,22,22,83,,,,,,,,,,,,,,,,,,,,,,,1446.5996937220916,None,1448.0993379838765,None,1449.484073929023,None,cliff,1449.484073929023,None,return,1.2802184438332915,1449.56624651514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
fine.wav,fine.mpg,fine,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,23,23,48,,,,,,,,,,,,,,,,,,,,,,,1450.8663117862307,None,1452.3660518848337,None,1453.7496413500048,None,"science
",1453.7496413500048,None,return,4.053372028283775,1453.8329802248627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
swamp.wav,swamp.mpg,swamp,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,24,24,108,,,,,,,,,,,,,,,,,,,,,,,1457.9165347767994,None,1459.416046579834,None,1460.7996843820438,None,swamp,1460.7996843820438,None,return,1.5154401366598904,1460.8829846880399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
gag.wav,gag.mpg,gag,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,25,25,31,,,,,,,,,,,,,,,,,,,,,,,1462.4163009012118,None,1463.9161227452569,None,1465.2997386171483,None,guy,1465.2997386171483,None,return,3.5833401712588966,1465.3830148829147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
bloom.wav,bloom.mpg,bloom,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,26,26,52,,,,,,,,,,,,,,,,,,,,,,,1468.9830136820674,None,1470.4829965038225,None,1471.8664502478205,None,bloom,1471.8664502478205,None,return,4.6247221399098635,1471.949619336985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
cease.wav,cease.mpg,cease,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,27,27,21,,,,,,,,,,,,,,,,,,,,,,,1476.5999122052453,None,1478.0992924231105,None,1479.4843221730553,None,assist,1479.4843221730553,None,return,3.4160445989109576,1479.5663871448487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
blue.wav,blue.mpg,blue,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,28,28,68,,,,,,,,,,,,,,,,,,,,,,,1482.9997028429061,None,1484.499515681062,None,1485.882978613954,None,"blur
",1485.882978613954,None,return,5.33589533995837,1485.9664607848972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
dock.wav,dock.mpg,dock,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,29,29,86,,,,,,,,,,,,,,,,,,,,,,,1491.3330180379562,None,1492.8327772319317,None,1494.2162676909938,None,shot,1494.2162676909938,None,return,4.466677804943174,1494.2997044939548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
beam.wav,beam.mpg,beam,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,30,30,2,,,,,,,,,,,,,,,,,,,,,,,1498.783077153843,None,1500.2828285922296,None,1501.666295510251,None,mix,1501.666295510251,None,return,3.9446345758624375,1501.7497109980322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
two.wav,two.mpg,two,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,31,31,104,,,,,,,,,,,,,,,,,,,,,,,1505.7166253430769,None,1507.2162048891187,None,1508.599841246847,None,"two
",1508.599841246847,None,return,1.619312681723386,1508.683057141956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
cute.wav,cute.mpg,cute,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,32,32,49,,,,,,,,,,,,,,,,,,,,,,,1510.3330751452595,None,1511.8328500511125,None,1513.2165559078567,None,tree,1513.2165559078567,None,return,1.6987489452585578,1513.2996901632287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
beach.wav,beach.mpg,beach,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,33,33,94,,,,,,,,,,,,,,,,,,,,,,,1515.0164460572414,None,1516.5162226241082,None,1517.8996023111977,None,"beach
",1517.8996023111977,None,return,2.1032473077066243,1517.9831180321053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
groom.wav,groom.mpg,groom,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,34,34,3,,,,,,,,,,,,,,,,,,,,,,,1520.1164848008193,None,1521.6160921840928,None,1522.9997063400224,None,"spring
",1522.9997063400224,None,return,2.4192098011262715,1523.0831289682537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
fuel.wav,fuel.mpg,fuel,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,35,35,106,,,,,,,,,,,,,,,,,,,,,,,1525.5331083978526,None,1527.032929387875,None,1528.4164573810995,None,fuel,1528.4164573810995,None,return,1.8425635523162782,1528.499797895085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
broke.wav,broke.mpg,broke,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,36,36,11,,,,,,,,,,,,,,,,,,,,,,,1530.3663920718245,None,1531.8660746049136,None,1533.2498190668412,None,broke,1533.2498190668412,None,return,1.697194173000753,1533.3332227519713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
curl.wav,curl.mpg,curl,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,37,37,114,,,,,,,,,,,,,,,,,,,,,,,1535.0497770621441,None,1536.5493903011084,None,1537.93310560612,None,curl,1537.93310560612,None,return,1.373863763641566,1538.016504406929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
grace.wav,grace.mpg,grace,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,38,38,56,,,,,,,,,,,,,,,,,,,,,,,1539.4169687991962,None,1540.9162082481198,None,1542.2998749981634,None,rinse,1542.2998749981634,None,return,1.471188616938889,1542.3831672659144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
unit.wav,unit.mpg,unit,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,39,39,81,,,,,,,,,,,,,,,,,,,,,,,1543.8833299782127,None,1545.3829695400782,None,1546.7664422439411,None,unit,1546.7664422439411,None,return,0.9483711649663746,1546.850066435989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
mold.wav,mold.mpg,mold,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,40,40,13,,,,,,,,,,,,,,,,,,,,,,,1547.8164300438948,None,1549.3161155320704,None,1550.6997680738568,None,"fold
",1550.6997680738568,None,return,1.687045773025602,1550.783307713922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
gut.wav,gut.mpg,gut,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,41,41,71,,,,,,,,,,,,,,,,,,,,,,,1552.4998397449963,None,1553.9995756899007,None,1555.3830252448097,None,gut,1555.3830252448097,None,return,0.5556229511275887,1555.48283297522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
build.wav,build.mpg,build,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,42,42,69,,,,,,,,,,,,,,,,,,,,,,,1556.0664729438722,None,1557.5663184002042,None,1558.9497614530846,None,"build
",1558.9497614530846,None,return,1.2852056450210512,1559.033152773045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
faith.wav,faith.mpg,faith,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,43,43,110,,,,,,,,,,,,,,,,,,,,,,,1560.3498762170784,None,1561.8494004341774,None,1563.2331456388347,None,faith,1563.2331456388347,None,return,3.921886251773685,1563.31659868313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
dial.wav,dial.mpg,dial,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,44,44,113,,,,,,,,,,,,,,,,,,,,,,,1567.2665769630112,None,1568.7662514341064,None,1570.1497040619142,None,"dial
",1570.1497040619142,None,return,1.4531958498992026,1570.2331550568342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
grass.wav,grass.mpg,grass,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,45,45,17,,,,,,,,,,,,,,,,,,,,,,,1571.716470927,None,1573.2161318189465,None,1574.5999907199293,None,grass,1574.5999907199293,None,return,1.515258293133229,1574.6831604721956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
chunk.wav,chunk.mpg,chunk,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,46,46,95,,,,,,,,,,,,,,,,,,,,,,,1576.2164917229675,None,1577.7162169050425,None,1579.099676777143,None,chunk,1579.099676777143,None,return,5.743143171072006,1579.1832086029463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,001,2023_Apr_14_1532,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.919610958800206,
